place,lat,lon,population,foreign,native,hh_income,pct_english,pct_asian_lang,pct_spanish,pct_euro,pct_asian,pct_white,pct_black,pct_other,pct_hispanic,pct_full_time,pct_no_work,pct_part_time,pct_urban,less_than_hs,less_bachelors,doctorate
NeoshoRapidscity_KS,38.3687,-95.9919,274.0,0.0,1.0,missing,0.9907,0.0,0.0093,0.0,0.0,0.9635,0.0182,0.0,0.0219,0.7847,0.1722,0.0813,0.0,missing,missing,missing
NeptuneBeachcity_FL,30.3166,-81.4031,7270.0,0.0391,0.9609,53576.0,0.8772,0.0085,0.0594,0.0548,0.0103,0.9608,0.0073,0.0,0.0209,0.8812,0.0709,0.0632,0.0,0.0434,0.4282,0.013
Neshkorovillage_WI,43.9639,-89.2167,453.0,0.0042,0.9958,39167.0,0.9516,0.0,0.0161,0.0323,0.0066,0.9912,0.0,0.0,0.0066,0.838,0.126,0.0514,0.0,0.235,0.6619,0.0
NeskowinCDP_OR,45.1065,-123.9793,169.0,0.0521,0.9479,42000.0,0.9,0.0,0.0,0.1,0.0059,0.9408,0.0,0.0,0.0237,0.7463,0.122,0.1317,0.0,missing,missing,missing
Nesquehoningborough_PA,40.8682,-75.8242,3288.0,0.0247,0.9753,35902.0,0.8671,0.0,0.0334,0.0995,0.0043,0.9769,0.0064,0.0,0.0152,0.8277,0.1375,0.0625,0.0,missing,missing,missing
NewBerlincity_WI,42.9791,-88.1092,38220.0,0.0437,0.9563,67576.0,0.9092,0.0139,0.025,0.0496,0.0231,0.9584,0.0044,0.0023,0.0156,0.8675,0.0809,0.0715,0.0,missing,missing,missing
NewBethlehemboroug_PA,41.0033,-79.3309,1057.0,0.0114,0.9886,25069.0,0.9535,0.0,0.0182,0.0283,0.0009,0.9849,0.0076,0.0,0.0057,0.8077,0.1365,0.0728,0.0,0.2158,0.5377,0.0179
NewBoston-MoreaCDP_PA,40.7912,-76.1674,441.0,0.0044,0.9956,32054.0,0.895,0.0,0.011,0.0939,0.0023,0.9932,0.0,0.0,0.0,0.8266,0.1518,0.0244,0.0,missing,missing,missing
NewBuffalocity_MI,41.7904,-86.7453,2200.0,0.0314,0.9686,41658.0,0.8993,0.0021,0.0382,0.0583,0.005,0.9664,0.0041,0.0021,0.0286,0.8039,0.1233,0.0856,0.0,missing,missing,missing
NewCambriacity_KS,38.8785,-97.5057,150.0,0.0,1.0,missing,0.9672,0.0,0.0,0.0,0.0,0.9667,0.0133,0.0328,0.0,0.8,0.168,0.048,0.0,missing,missing,missing
