"place,population,foreign,native,hh_income,pct_english,pct_asian_lang,pct_spanish,pct_euro,pct_asian,pct_white,pct_black,pct_other,pct_hispanic,pct_full_time,pct_no_work,pct_part_time,pct_urban"
"BynumCDP_al,"	"1863.0,0.0039,0.9961,34375.0,0.9876,0.0,0.0,0.0124,0.0016,0.8696,0.0998,0.0,0.014,0.548,0.3275,0.1245,0.0"
"CahabaHeightsCDP_al,"	"5203.0,0.0248,0.9752,48250.0,0.9411,0.0036,0.0219,0.0334,0.0144,0.9594,0.0117,0.0,0.0075,0.6728,0.2432,0.084,0.0"
"Caleracity_al,"	"3158.0,0.0,1.0,35650.0,0.9374,0.0,0.0459,0.0167,0.0054,0.7742,0.1992,0.0,0.019,0.5334,0.3537,0.113,0.0"
"Camdentown_al,"	"2257.0,0.0065,0.9935,25750.0,0.9373,0.0,0.0509,0.0118,0.0,0.4528,0.5423,0.0,0.0053,0.3689,0.5175,0.1137,0.0"
"CampHilltown_al,"	"1273.0,0.0103,0.9897,20655.0,0.953,0.0102,0.0307,0.0061,0.0,0.1438,0.8492,0.0,0.0102,0.5,0.3935,0.1065,0.0"
"CarbonHillcity_al,"	"2071.0,0.0,1.0,20861.0,0.9653,0.0,0.0185,0.0162,0.0,0.8943,0.0874,0.0,0.0101,0.4116,0.4896,0.0988,0.0"
"Cardifftown_al,"	"82.0,0.0,1.0,missing,1.0,0.0,0.0,0.0,0.0,0.939,0.061,0.0,0.0,0.4545,0.3636,0.1818,0.0"
"Carolinatown_al,"	"248.0,0.0,1.0,missing,1.0,0.0,0.0,0.0,0.0,0.996,0.004,0.0,0.004,0.5284,0.3693,0.1023,0.0"
"Carrolltontown_al,"	"987.0,0.0039,0.9961,24318.0,0.9725,0.01,0.01,0.0075,0.001,0.5339,0.4458,0.0,0.0041,0.4537,0.4802,0.0661,0.0"
"Castleberrytown_al,"	"590.0,0.0,1.0,21204.0,0.9789,0.0,0.0106,0.0106,0.0,0.6322,0.3559,0.0,0.0,0.4515,0.4792,0.0693,0.0"
"CedarBlufftown_al,"	"1467.0,0.0083,0.9917,29211.0,0.9595,0.0032,0.0291,0.0081,0.002,0.8718,0.1138,0.0,0.0089,0.4908,0.3975,0.1117,0.0"
"CenterPointCDP_al,"	"22784.0,0.0266,0.9734,40929.0,0.9302,0.0093,0.038,0.0184,0.0055,0.729,0.2423,0.0041,0.0223,0.605,0.2868,0.1082,0.0"
"Centrecity_al,"	"3216.0,0.0194,0.9806,24000.0,0.9577,0.0059,0.0208,0.0156,0.0012,0.879,0.1001,0.0,0.0096,0.3848,0.5051,0.1101,0.0"
"Centrevillecity_al,"	"2466.0,0.008,0.992,31842.0,0.9729,0.0,0.0271,0.0,0.0012,0.7595,0.2303,0.0,0.0174,0.4525,0.4333,0.1142,0.0"
"ChalkvilleCDP_al,"	"3829.0,0.0031,0.9969,missing,0.9605,0.0,0.0198,0.015,0.0047,0.9632,0.0232,0.0047,0.0057,0.6522,0.2284,0.1193,0.0"
"Chatomtown_al,"	"1193.0,0.0026,0.9974,31319.0,0.9704,0.0,0.0251,0.0046,0.0,0.6723,0.321,0.0,0.005,0.4478,0.4544,0.0978,0.0"
"Chelseatown_al,"	"2949.0,0.0074,0.9926,67083.0,0.9354,0.0,0.0308,0.0338,0.0017,0.9678,0.0078,0.0,0.0081,0.6513,0.2423,0.1063,0.0"
"Cherokeetown_al,"	"1237.0,0.0056,0.9944,24597.0,0.9797,0.0,0.0183,0.002,0.0,0.7833,0.2021,0.0,0.0049,0.4615,0.4734,0.0651,0.0"
"Chickasawcity_al,"	"6364.0,0.0092,0.9908,27036.0,0.9526,0.0058,0.0224,0.0192,0.0024,0.8889,0.0812,0.0,0.0115,0.4431,0.4446,0.1123,0.0"
"Childersburgcity_al,"	"4927.0,0.0086,0.9914,23932.0,0.9734,0.0079,0.0049,0.0128,0.0006,0.6887,0.2973,0.001,0.0061,0.4811,0.4144,0.1045,0.0"
"Citronellecity_al,"	"3659.0,0.002,0.998,31739.0,0.952,0.0,0.0213,0.0267,0.0014,0.7696,0.1861,0.0,0.0082,0.4765,0.3935,0.13,0.0"
"Clantoncity_al,"	"7800.0,0.0164,0.9836,30394.0,0.9516,0.0019,0.0266,0.0199,0.0033,0.7731,0.2001,0.0,0.0264,0.4585,0.4477,0.0938,0.0"
"ClayCDP_al,"	"4947.0,0.0119,0.9881,missing,0.9635,0.0044,0.0258,0.0063,0.004,0.9796,0.0071,0.0,0.004,0.648,0.2038,0.1483,0.0"
"Clayhatcheetown_al,"	"501.0,0.027,0.973,30156.0,0.9581,0.0209,0.0,0.0209,0.008,0.9242,0.0419,0.0,0.018,0.4701,0.4348,0.0951,0.0"
"Claytontown_al,"	"1475.0,0.0067,0.9933,18750.0,0.9637,0.0,0.0277,0.0069,0.0,0.3485,0.6393,0.0017,0.0136,0.4122,0.5061,0.0817,0.0"
"Clevelandtown_al,"	"1241.0,0.1036,0.8964,37037.0,0.8381,0.0,0.1619,0.0,0.0,0.9452,0.0008,0.0,0.1579,0.6066,0.2932,0.1002,0.0"
"Cliotown_al,"	"2206.0,0.059,0.941,17417.0,0.9332,0.0051,0.0566,0.0051,0.0032,0.3731,0.5721,0.0,0.0331,0.2374,0.7256,0.037,0.0"
"Coalingcity_al,"	"1115.0,0.0,1.0,missing,0.979,0.0,0.021,0.0,0.0,0.9004,0.0861,0.0,0.009,0.7335,0.1938,0.0727,0.0"
