"Claytontown_al,"	"0.0519,0.0,0.0067,18750.0,18750.0,0.4305,0.3154,0.9933,0.0,0.9637,0.0069,0.7626,0.213,0.0017,0.0504,0.0277"
"Clevelandtown_al,"	"0.0648,0.0,0.1036,37037.0,37037.0,0.4752,0.3062,0.8964,0.0,0.8381,0.0,0.8795,0.0991,0.0,0.0448,0.1619"
"Cliotown_al,"	"0.0563,0.0,0.059,17417.0,17417.0,0.456,0.3928,0.941,0.0051,0.9332,0.0051,0.3803,0.6002,0.0,0.032,0.0566"
"Coalingcity_al,"	"0.0422,0.0,0.0,0.6535,0.1867,1.0,0.0,0.979,0.0,0.8756,0.0881,0.0,0.0661,0.021"
"CoffeeSpringstown_al,"	"0.0071,0.9929,0.0,0.9675,0.0163,0.8491,0.1422,0.0,0.0517,0.0163"
"Coffeevilletown_al,"	"0.0,19545.0,19545.0,1.0,0.0,0.9702,0.0119,0.7798,0.1733,0.0,0.0939,0.0179"
"Cokertown_al,"	"0.0,41184.0,41184.0,1.0,0.0,0.9203,0.0254,0.8628,0.151,0.0,0.0312,0.0543"
"Collinsvilletown_al,"	"0.0364,0.0,0.1629,21964.0,21964.0,0.4244,0.4216,0.8371,0.0,0.801,0.0052,0.8182,0.1453,0.0052,0.0583,0.1885"
"Colonytown_al,"	"0.0,32708.0,32708.0,1.0,0.0,0.9419,0.0194,0.8171,0.1433,0.0,0.0701,0.0387"
"Columbianacity_al,"	"0.0137,34034.0,34034.0,0.9863,0.0031,0.9502,0.0109,0.813,0.1467,0.0,0.0602,0.0358"
"Columbiatown_al,"	"0.0727,0.0,0.0172,27500.0,27500.0,0.5218,0.3036,0.9828,0.0,0.9591,0.0292,0.8257,0.1426,0.0,0.0618,0.0117"
"ConcordCDP_al,"	"0.0446,0.0,0.0,0.6669,0.154,1.0,0.0,0.9674,0.0,0.8653,0.0954,0.0,0.0613,0.0326"
"Coosadatown_al,"	"0.012,39405.0,39405.0,0.988,0.0,0.9698,0.0043,0.84,0.114,0.0,0.065,0.0259"
"Cordovacity_al,"	"0.014,17389.0,17389.0,0.986,0.0,0.9491,0.0207,0.7653,0.2011,0.0,0.0586,0.0302"
"Cottonwoodtown_al,"	"0.0095,21452.0,21452.0,0.9905,0.0,0.9433,0.0081,0.8292,0.1484,0.0,0.0601,0.0486"
